"hg1";"hg2";"distance"
"C1b10";"C1b10";"0"
"C1b10*1";"C1b10";"1"
"C1b10*2";"C1b10*2";"0"
"C1b11";"C";"3"
"C1b11*";"C1b11*";"0"
"C1b11*1";"C1b11*1";"0"
"C1b11*1a";"C1b11*1a";"0"
"C1b11*2";"C1b11*2";"0"
"C1b12";"C1b12";"0"
"C1b13";"C";"3"
"C1b13a";"C";"4"
"C1b13a1";"C";"5"
"C1b13b";"C1b13b";"0"
"C1b13c";"C1b13c";"0"
"C1b13c1";"C1b13c1";"0"
"C1b13d";"C1b13d";"0"
"C1b13e";"C";"4"
"C1b14";"C1b14";"0"
"C1b14*";"C1b14";"1"
"C1b2";"C1b2";"0"
"C1b3";"C1b3";"0"
"C1b4";"C1b4";"0"
"C1b5";"C1b5";"0"
"C1b5a";"C1b5a";"0"
"C1b5b";"C1b5b";"0"
"C1b5b*";"C1b5b";"1"
"C1b6";"C";"3"
"C1b7";"C";"4"
"C1b7*1";"C";"5"
"C1b7*2";"C";"5"
"C1b7a";"C";"5"
"C1b7a*1";"C1b7a*1";"0"
"C1b7a*2";"C1b7a*2";"0"
"C1b8";"C1b8";"0"
"C1b8*";"C1b8*";"0"
"C1b8a";"C1b8a";"0"
"C1b9";"C1b9";"0"
"C1c";"C1c";"0"
"C1c*1";"C1c*1";"0"
"C1c*2";"C1c*2";"0"
"C1c*3";"C1c";"1"
"C1c*4";"C1c*4";"0"
"C1c*5";"C1c*5";"0"
"C1c*6";"C1c";"1"
"C1c+195";"C1c";"1"
"C1c+195*";"C1c";"2"
"C1c1";"C1c1";"0"
"C1c1a";"C1c1";"1"
"C1c1b";"C1c1";"1"
"C1c2";"C1c2";"0"
"C1c3";"C1c3";"0"
"C1c4";"C1c";"1"
"C1c4*";"C1c4*";"0"
"C1c5";"C1c5";"0"
"C1c6";"C1c6";"0"
"C1c7";"C1c7";"0"
"C1c7*";"C1c7*";"0"
"C1c8";"C1c";"1"
"C1d";"C1d";"0"
"C1d*";"C1d*";"0"
"C1d+194";"C1d";"1"
"C1d1";"C1d1";"0"
"C1d1*1";"C1d1*1";"0"
"C1d1*2";"C1d1*2";"0"
"C1d1*3";"C1d1*3";"0"
"C1d1*4";"C1d1*4";"0"
"C1d1*5";"C1d1*5";"0"
"C1d1*6";"C1d1*6";"0"
"C1d1a";"C1d1";"1"
"C1d1a1";"C1d1a1";"0"
"C1d1b";"C1d1";"1"
"C1d1b*";"C1d1b*";"0"
"C1d1b1";"C1d1";"2"
"C1d1b1*";"C1d1";"3"
"C1d1c";"C1d1c";"0"
"C1d1c1";"C1d1c";"1"
"C1d1c1*";"C1d1c1*";"0"
"C1d1d";"C1d1";"1"
"C1d2";"C1d2";"0"
"C1d2a";"C1d2";"1"
"C1d3";"C1d3";"0"
"C1e";"C1e";"0"
"C1f";"C";"2"
"C4";"C4";"0"
"C4+152";"C4";"1"
"C4+152+16093";"C4";"2"
"C4a";"C4";"2"
"C4a'b'c";"C4";"1"
"C4a1";"C4a1";"0"
"C4a1a";"C4a1";"1"
"C4a1a*";"C4a1a*";"0"
"C4a1a+195";"C4a1";"2"
"C4a1a1";"C4a1";"2"
"C4a1a1a";"C4a1";"3"
"C4a1a1a*";"C4a1a1a*";"0"
"C4a1a2";"C4a1";"3"
"C4a1a2*";"C4a1";"4"
"C4a1a2a";"C4a1a2a";"0"
"C4a1a3";"C4a1a3";"0"
"C4a1a3*";"C4a1a3";"1"
"C4a1a3a";"C4a1a3a";"0"
"C4a1a3a1";"C4a1a3a1";"0"
"C4a1a3b";"C4a1a3";"1"
"C4a1a3c";"C4a1a3";"1"
"C4a1a3d";"C4a1a3";"1"
"C4a1a4";"C4a1a4";"0"
"C4a1a4a";"C4a1a4a";"0"
"C4a1a5";"C4a1a5";"0"
"C4a1a6";"C4a1";"2"
"C4a1a6*";"C4a1a6*";"0"
"C4a1b";"C4a1";"1"
"C4a2";"C4";"3"
"C4a2a";"C4a2a";"0"
"C4a2a1";"C4a2a";"1"
"C4a2a1*";"C4a2a";"2"
"C4a2a1a";"C4a2a1a";"0"
"C4a2a1b";"C4a2a";"2"
"C4a2b";"C4";"4"
"C4a2b1";"C4a2b1";"0"
"C4a2b2";"C4a2b2";"0"
"C4a2b2*";"C4a2b2*";"0"
"C4a2b2a";"C4a2b2a";"0"
"C4a2c";"C4a2c";"0"
"C4a2c*";"C4a2c*";"0"
"C4a2c1";"C4a2c1";"0"
"C4a2c2";"C4a2c2";"0"
"C4a2c2a";"C4a2c2a";"0"
"C4b";"C4b";"0"
"C4b*";"C4b*";"0"
"C4b1";"C4b";"1"
"C4b1a";"C4b1a";"0"
"C4b1b";"C4b";"2"
"C4b2";"C4b";"1"
"C4b2a";"C4b";"2"
