"hg1";"hg2";"distance"
"C1c1a";"C1c1";"1"
"C1c1b";"C1c1";"1"
"C1c2";"C1c2";"0"
"C1c3";"C1c3";"0"
"C1c4";"C1c";"1"
"C1c4*";"C1c";"2"
"C1c5";"C1c";"1"
"C1c6";"C1c";"2"
"C1c7";"C1c";"2"
"C1c7*";"C1c7*";"0"
"C1c8";"C1c";"1"
"C1d";"C";"2"
"C1d*";"C";"3"
"C1d+194";"C";"3"
"C1d1";"C1d1";"0"
"C1d1*1";"C1d1";"1"
"C1d1*2";"C1d1";"1"
"C1d1*3";"C1d1*3";"0"
"C1d1*4";"C1d1*4";"0"
"C1d1*5";"C1d1*5";"0"
"C1d1*6";"C1d1";"1"
"C1d1a";"C1d1";"1"
"C1d1a1";"C1d1";"2"
"C1d1b";"C1d1";"1"
"C1d1b*";"C1d1";"2"
"C1d1b1";"C1d1";"2"
"C1d1b1*";"C1d1";"3"
"C1d1c";"C1d1";"1"
"C1d1c1";"C1d1c1";"0"
"C1d1c1*";"C1d1c1";"1"
"C1d1d";"C1d1";"1"
"C1d2";"C";"4"
"C1d2a";"C";"5"
"C1d3";"C";"4"
"C1e";"C";"2"
"C1f";"C";"2"
"C4";"C";"1"
"C4+152";"C";"2"
"C4+152+16093";"C";"3"
"C4a";"C";"3"
"C4a'b'c";"C";"2"
"C4a1";"C1b10";"8"
"C4a1a";"C1b10";"9"
"C4a1a*";"C1b10";"10"
"C4a1a+195";"C1b10";"10"
"C4a1a1";"C1b10";"10"
"C4a1a1a";"C1b10";"11"
"C4a1a1a*";"C1b10";"12"
"C4a1a2";"C1b10";"11"
"C4a1a2*";"C1b10";"12"
"C4a1a2a";"C1b10";"12"
"C4a1a3";"C1b10";"11"
"C4a1a3*";"C1b10";"12"
"C4a1a3a";"C1b10";"12"
"C4a1a3a1";"C1b10";"13"
"C4a1a3b";"C1b10";"12"
"C4a1a3c";"C1b10";"12"
"C4a1a3d";"C4a1a3d";"0"
"C4a1a4";"C4a1a4";"0"
"C4a1a4a";"C4a1a4";"1"
"C4a1a5";"C1b10";"10"
"C4a1a6";"C1b10";"10"
"C4a1a6*";"C1b10";"11"
"C4a1b";"C1b10";"9"
"C4a2";"C";"4"
"C4a2a";"C";"5"
"C4a2a1";"C";"6"
"C4a2a1*";"C";"7"
"C4a2a1a";"C";"7"
"C4a2a1b";"C";"7"
"C4a2b";"C";"5"
"C4a2b1";"C4a2b1";"0"
"C4a2b2";"C";"6"
"C4a2b2*";"C";"7"
"C4a2b2a";"C";"7"
"C4a2c";"C4a2c";"0"
"C4a2c*";"C4a2c";"1"
"C4a2c1";"C4a2c";"1"
"C4a2c2";"C4a2c2";"0"
"C4a2c2a";"C4a2c2";"1"
"C4b";"C";"3"
"C4b*";"C4b*";"0"
"C4b1";"C";"4"
"C4b1a";"C";"5"
"C4b1b";"C";"5"
"C4b2";"C";"4"
"C4b2a";"C";"5"
"C4b3";"C";"4"
"C4b3a";"C";"5"
"C4b3a*";"C4b3a*";"0"
"C4b3a1";"C4b3a1";"0"
"C4b3b";"C";"5"
"C4b3b*";"C";"6"
"C4b5";"C4b5";"0"
"C4b6";"C";"4"
"C4b7";"C1b11*2";"8"
"C4b8";"C";"4"
"C4b8a";"C";"5"
"C4c";"C4c";"0"
"C4c1";"C4c";"1"
"C4c1a";"C4c";"2"
"C4c1b";"C4c";"2"
"C4c2";"C4c2";"0"
"C4d";"C";"4"
"C4e";"C";"3"
"C5";"C";"1"
"C5+16093";"C";"2"
"C5a";"C5a";"0"
"C5a1";"C5a";"1"
"C5a2";"C5a";"1"
"C5a2a";"C5a";"2"
"C5a2b";"C5a";"2"
"C5a2b1";"C5a";"3"
"C5b";"C5b";"0"
"C5b1";"C5b1";"0"
"C5b1*";"C5b1";"1"
"C5b1a";"C5b1";"1"
"C5b1a1";"C5b1a1";"0"
"C5b1b";"C5b1";"1"
"C5b1b1";"C5b1";"2"
"C5c";"C";"3"
"C5c+16234";"C";"4"
"C5c1";"C";"5"
"C5c1a";"C";"6"
"C5d";"C";"3"
"C5d1";"C";"4"
"C5d2";"C";"4"
"C5d2*";"C1b11*2";"9"
"C7";"C";"1"
"C7*";"C7*";"0"
"C7+16051";"C";"2"
"C7a";"C7a";"0"
"C7a1";"C7a";"1"
"C7a1a";"C7a";"2"
"C7a1a1";"C7a1a1";"0"
"C7a1a2";"C7a";"3"
"C7a1c";"C7a";"2"
"C7a1d";"C7a";"2"
"C7a2";"C7a";"1"
"C7a2a";"C7a";"2"
"C7b";"C7b";"0"
"CZ";"M8";"1"
"D";"M80'D";"1"
"D+16189";"M80'D";"2"
"D1";"D4";"1"
"D1*1";"D4";"2"
"D1*2";"D4";"2"
"D1*3";"D4";"2"
"D1*4";"D4";"2"
"D1a";"D4";"2"
"D1a*";"D4";"3"
"D1a1";"D4";"3"
"D1a2";"D1a2";"0"
"D1b";"D4";"2"
"D1c";"D4";"2"
"D1d";"D4";"2"
"D1d1";"D1d1";"0"
"D1d2";"D4";"3"
"D1d2*";"D4";"4"
"D1e";"D4";"2"
"D1f";"D4";"2"
"D1f+16189";"D4";"3"
"D1f1";"D4";"3"
"D1f1*";"D4";"4"
"D1f2";"D4";"3"
"D1f3";"D4";"4"
"D1f3*";"D4";"5"
"D1g";"D4";"2"
"D1g+16189";"D4";"3"
"D1g1";"D4";"3"
"D1g1a";"D4";"4"
"D1g1b";"D4";"4"
"D1g2";"D4";"4"
"D1g2*1";"D1g2*1";"0"
"D1g2*2";"D4";"5"
"D1g2a";"D1g2a";"0"
"D1g3";"D4";"3"
"D1g4";"D1g4";"0"
"D1g4*";"D1g4";"1"
"D1g5";"D4";"4"
"D1g6";"D1g6";"0"
"D1h";"D4";"2"
"D1h*";"D1h*";"0"
"D1h1";"D1h1";"0"
"D1h2";"D4";"3"
"D1i";"D4";"2"
"D1i1";"D4";"3"
"D1i2";"D4";"3"
"D1j";"D4";"2"
"D1j1";"D4";"3"
"D1j1*";"D1j1*";"0"
"D1j1a";"D1j1a";"0"
"D1j1a1";"D1j1a";"1"
"D1j1a2";"D1j1a2";"0"
"D1k";"D4";"2"
"D1m";"D1m";"0"
"D1n";"D4";"2"
"D2";"D2";"0"
"D2a";"D2a";"0"
"D2a'b";"D2";"1"
"D2a1";"D2a1";"0"
"D2a1a";"D2a1";"1"
